AD	 n. 公元；广告（ad）
AIDS	 abbr. 获得性免疫缺乏综合征；爱滋病（Acquired Immune Deficiency Syndrome）
Africa	 n.  非洲
Africa	 n. 非洲
African	 adj. 非洲的，非洲人的 n. 非洲人
America	 n.  美国； 美洲
America	 n. 美洲（包括北美和南美洲）；美国
American	 n. 美国人，美洲人；美国英语 adj. 美国的，美洲的；地道美国式的
April	 n.  四月
April	 n. 四月
Arabic	 adj. 阿拉伯的；阿拉伯人的 n. 阿拉伯语
Arctic	 adj. 北极的；极寒的 n. 北极圈；御寒防水套鞋
Asia	 n.  亚洲
Asia	 n. 亚洲
Asian	 n. 亚洲人 adj. 亚洲的；亚洲人的
Atlantic	 adj. 大西洋的 n.  大西洋
Atlantic	 n. 大西洋 adj. 大西洋的
August	 adj. 威严的；令人敬畏的 n. 八月（简写为Aug）
August	 n.  八月
Australia	 n.  澳大利亚
Australia	 n. 澳大利亚，澳洲
Australian	 adj. 澳大利亚的，澳大利亚人的 n. 澳大利亚人
Baby	 n. 婴儿，婴孩；孩子气的人 v. 纵容，娇纵；把……当婴儿般对待 adj. 婴儿的；幼小的
Belgium	 n. 比利时（西欧国家，首都布鲁塞尔Brussels）
Brazilian	 adj.  巴西的； 巴西人的 n. 巴西人
Britain	 n. 英国；不列颠
British	 adj. 英国的；英国人的；大不列颠的 n. 英国人
Buddhism	 n. 佛教
Buddhist	 n. 佛教徒 adj. 佛教的
CD	 abbr. 光盘，激光唱片（Compact Disc）；呼叫设备（Calling Device）；中央地区（Central District）；商务部（Commerce Department）
Canada	 n.  加拿大
Canada	 n. 加拿大（北美洲国家）
Canadian	 adj. 加拿大（人）的 n. 加拿大人
China	 n.  中国
China	 n. 中国 adj. 中国的；中国制造的
Chinese	 adj.  中国的； 中国话的 n. 中国人；中国话，中文
Chinese	 n. 中文，汉语；中国人 adj. 中国的，中国人的；中国话的
Christian	 n. 基督徒，信徒 adj. 基督教的；信基督教的
Christmas	 n.  圣诞节
Christmas	 n. 圣诞节；圣诞节期间
DVD	 abbr. 数字化视频光盘（Digital Video Disk）
December	 n.  十二月
December	 n. 十二月
Dr	 abbr. 速度三角形定位法（dead reckoning）；数据记录器（Data Recorder）
Dynamic	 adj. 动态的；动力的；动力学的；有活力的 n. 动态；动力
Dynasty	 n. 王朝，朝代
Easter	 n. 复活节
Egypt	 n. 埃及（非洲国家）
Egyptian	 adj. 埃及的；埃及人的 n. 埃及人；古代埃及语
England	 n.  英格兰， 英国
England	 n. 英格兰
English	 adj.  英语的； 英国的 n. 英语
English	 adj. 英国人的；英国的；英文的 n. 英语；英国人；英文；英格兰人 vt. 把…译成英语
Europe	 n.  欧洲
Europe	 n. 欧洲
European	 adj. 欧洲的，欧洲人的 n.  欧洲人
European	 adj. 欧洲的；欧洲人的 n. 欧洲人
FALSE	 adj. 错误的；虚伪的；伪造的 adv. 欺诈地
February	 n.  二月
February	 n. 二月
France	 n.  法国
French	 adj. 法国的；法语的；法国人的 n. 法国人；法语
French	 n. 法国人；
Frenchman	 n. 法国人
Friday	 n.  星期五
Friday	 n. 星期五
German	 adj. 德国的；德语的，德国人的 n. 德语；德国人
Germany	 n. 德国
Greece	 n. 希腊（欧洲南部国家）
Greek	 n. 希腊语；希腊人 adj. 希腊的；希腊人的，希腊语的
I	 pron.  我
I	 pron. 我 n. 碘元素；英语字母I
